commit	aggregate_score	mean_score	status	description
15a3bca	1.067383	1.145919	keep	ease cornering braking now that lookahead-shrink handles corner geometry directly (min_speed 3.0->3.5, braking_factor 4.5->3.5): ALL THREE vehicles now finish the track (reason=won for car_base, trailer_truck, AND tow_truck -- previously only car_base ever won). Aggregate crosses 1.0 for the first time: 0.805367 -> 1.067383, mean 0.960099 -> 1.145919
ca43d94	1.082027	1.167261	keep	shorten curvature_preview 18->14: brake closer to the corner instead of pre-emptively, now that lookahead-curvature-shrink (see 1ba33fe) handles corner-cutting directly. All three still win; trailer_truck (bottleneck) finishes faster (58.5s vs 59.47s): 1.067383 -> 1.082027, mean 1.145919 -> 1.167261
61a213b	1.117961	1.214369	keep	ease cornering braking further (min_speed 3.5->4.0, braking_factor 3.5->3.0): all three still win, trailer_truck (bottleneck) finishes faster (56.1s vs 58.5s), tow_truck also notably faster (48.9s vs 53.2s): 1.082027 -> 1.117961, mean 1.167261 -> 1.214369
954afd7	1.141970	1.234748	keep	ease cornering braking yet further (min_speed 4.0->4.5, braking_factor 3.0->2.5): trend continues to pay off, all three win, trailer_truck bottleneck down to 54.5s (was 56.1s): 1.117961 -> 1.141970, mean 1.214369 -> 1.234748
9fc6d05	1.160353	1.249532	keep	continue easing cornering braking (min_speed 4.5->5.0, braking_factor 2.5->2.0): gains diminishing but still positive, all three win: 1.141970 -> 1.160353, mean 1.234748 -> 1.249532
ebf41c9	0.669777	1.076075	discard	bigger step easing cornering braking (min_speed 5.0->6.0, braking_factor 2.0->1.0): overshoots -- tow_truck regresses hard (360m->245m, back to time_up/not winning, avg_speed collapses to 3.84 mid-race, presumably re-wedging on the tight corner that curvature_preview/lookahead-shrink was managing). The easing trend has a floor; 5.0/2.0 was closer to it. 1.160353 -> 0.669777 (reverted)
39ad7d4	0.357782	0.961829	discard	smaller step toward the edge (min_speed 5.3, braking_factor 1.6): still overshoots -- tow_truck now falls off entirely (131m, fell_off) rather than just timing out. The good/bad boundary is a sharp cliff near min_speed~5.0/braking_factor~2.0, not a gradual falloff; settling there as the local optimum for this direction. 1.160353 -> 0.357782 (reverted)
6c96955	0.376027	0.981324	discard	loosen safety_margin 0.9->1.3: tow_truck falls off (137m, fell_off) -- the emergency-braking safety net at 0.9m was load-bearing, not redundant, despite looking close to the vehicles best-case max lateral offsets. 1.160353 -> 0.376027 (reverted)
5d2e770	0.373658	0.965810	discard	nudge lookahead_curvature_gain 0.25->0.35: tow_truck falls off (137m, fell_off). 0.25 is another sharp-edged parameter -- small increases reintroduce the steering oscillation that regresses tow_truck, same failure mode as the original 0.5 attempt just at a lower threshold now. 1.160353 -> 0.373658 (reverted)
837526a	0.381307	0.965613	discard	raise cross_track_gain 0.5->0.65: wrong direction -- tow_truck doesnt fall off but gets wedged/stuck again (139m, time_up, avg_speed collapses to 2.23), the original trailer-sway-into-jam failure mode from early in the run. Confirms cross_track_gain=0.5 is a genuine local optimum on this axis, not an arbitrary stopping point. 1.160353 -> 0.381307 (reverted)
c015677	1.160353	1.249532	discard	finer curvature-preview sampling 6->10: bit-for-bit identical result to 6 samples -- the critical corner curvature was already being captured accurately, no resolution bottleneck. No change, so no reason to keep the added parameter value (simplicity criterion). 1.160353 -> 1.160353 (reverted)
b720a51	0.375413	0.959318	discard	ease descent slope-braking 2.5->1.5: tow_truck falls off at ~137m, same location as the last several failed attempts (safety_margin, lookahead_curvature_gain, cross_track_gain) -- confirms this is one specific sharp corner at its physical limit, not a general speed problem. Any further loosening anywhere in the braking envelope pushes it over. 1.160353 -> 0.375413 (reverted)
2c0e5ba	0.846319	1.065669	discard	add hairpin speed cap (curvature>0.55 -> min_speed 3.0): tow_truck no longer falls off (progress -- confirms the theory) but overcorrects, now doesnt finish either (310m, time_up, worse than the 1.160353 baseline it was meant to protect). Threshold/floor too aggressive. 1.160353 -> 0.846319 (reverted)
4e909cb	0.981531	1.152916	discard	gentler hairpin cap (threshold 0.65, floor 4.0): very close -- tow_truck reaches 359.7m of ~360.5m (basically the finish) but times out by a hair (63.0s vs 65s budget), so still scores below the 1.160353 no-hairpin-cap baseline where it does finish (via a different, still-not-quite-safe route). Confirms the two-tier approach is directionally right, needs a bit more speed margin. 1.160353 -> 0.981531 (reverted)
c5be7a0	0.827302	1.106785	discard	nudge hairpin floor 4.0->4.5 (same threshold 0.65): moved the WRONG way -- tow_truck regresses further (303m, worse than the 359.7m near-miss at floor=4.0). Non-monotonic response to this parameter suggests a chaotic interaction (likely with stuck-detection timing) rather than a simple speed/time tradeoff -- pausing this hairpin-cap line of attack, it is not cleanly tunable with the tools tried so far. 1.160353 -> 0.827302 (reverted)
e75edae	1.156473	1.242581	discard	scale curvature_preview with current speed (curvature_preview_speed_gain=0.6): all three still win, but slightly worse on its own (extra preview distance -> marginally earlier braking everywhere, small time cost). Hypothesis was never that this alone helps -- its meant to create margin for re-pushing braking_factor/min_speed further without breaking tow_truck. 1.160353 -> 1.156473 (reverted, testing combined next)
815f485	0.669777	1.073349	discard	combine speed-scaled curvature_preview (gain=0.6) with the previously-failed braking easing (min_speed 6.0, braking_factor 1.0): identical failure to the earlier attempt without the speed scaling (245.47m, avg_speed collapses to 3.84, same stuck-like pattern) -- reaction time/distance was NOT the limiting factor, disproving that hypothesis. The corner itself wedges the trailer at this speed regardless of how early braking starts. 1.160353 -> 0.669777 (reverted)
beb0a86	0.493516	0.993078	discard	add yaw-rate instability safety net (threshold 1.2 rad/s -> floor 4.0): threshold miscalibrated -- ordinary hard cornering at speed with near-max steering already produces yaw rates in this range (rough kinematic estimate: v*tan(steer)/wheelbase ~2+ rad/s at 13 m/s, max_steer=0.4), so it fires on every normal turn, not just genuine trailer-snap events. tow_truck collapses to 180.9m/time_up (over-braked everywhere). Needs a much higher absolute threshold, or comparison against expected yaw rate from steering+speed rather than an absolute cutoff. 1.160353 -> 0.493516 (reverted)
778469c	0.378005	0.962465	discard	rate-limit applied steering (2.5 rad/s): worse -- tow_truck falls off at the same ~138m spot, but now via a different mechanism (lag: the smoothed steering cant track the apex fast enough, understeering into the edge instead of oversteering/wedging). Steering-rate wasnt the destabilizer at this speed regime either. 1.160353 -> 0.378005 (reverted)
1096aac	0.375827	0.972239	discard	apex-cutting racing line (apex_cut_gain=1.0, max 0.8m): genuinely helps the two non-floppy-trailer vehicles -- tighter lines (avg lateral offset 0.39->0.31, 0.41->0.32) and both finish faster (car_base 40.08s vs 40.93s, trailer_truck 52.02s vs 53.33s). But tow_truck falls off even harder at the same ~137m corner (max lateral offset 3.27m, worse than any prior attempt) -- cutting the apex evidently demands MORE steering authority right when the floppy trailer chain can least afford it. Real technique, wrong corner for this specific vehicle. 1.160353 -> 0.375827 (reverted, trying a gentler gain next)
f7e2bac	0.275547	0.934309	discard	gentler apex-cutting cap (max 0.25m, same gain): still breaks tow_truck -- now fully wedges (101m, time_up, avg_speed 1.63) rather than falling off, worse than doing nothing. Even a small apex bias is incompatible with the floppy trailer at this specific corner, confirming its not a magnitude problem -- the corner itself cant tolerate ANY aim-point deviation from the exact safe line. car_base/trailer_truck again show genuine improvement (tighter lines, faster). Gating apex-cutting off above a curvature ceiling (skip it entirely at the one hairpin) is the next thing to try instead of shrinking it globally. 1.160353 -> 0.275547 (reverted)
7687d32	0.375827	0.972960	discard	gate apex-cutting off above curvature 0.5: bit-for-bit identical tow_truck failure (137.7365m) to the ungated version -- the gate doesnt help because the corners curvature RAMPS UP as the car approaches (upcoming_curvature is a max-ahead scan), so the bias is still active during the earlier, lower-curvature approach and the resulting trailer instability carries forward by momentum even once curvature crosses the ceiling and the bias switches off. Need a much lower ceiling that excludes the whole approach, not just the peak. 1.160353 -> 0.375827 (reverted)
38d2483	0.372270	0.963996	discard	lower apex-cutting ceiling to 0.3 (matches where general curvature-braking starts): still fails -- tow_truck falls off (136.4m, slightly different point/magnitude than before but same outcome). Even bias applied only on curvature 0.05-0.3 (genuinely mild bends) upstream of the hairpin still perturbs tow_trucks position/momentum enough to break the corner later. 12 separate mechanisms now (speed, cross_track_gain, lookahead_gain, safety_margin, slope_braking, yaw-rate, steering-rate, apex-cut at 3 different gatings) have each independently broken this exact corner -- strong evidence the current best (1.160353) sits at an extremely narrow, tightly-coupled local optimum for tow_truck specifically, not a coincidence of any one parameter. 1.160353 -> 0.372270 (reverted)
75221e9	0.270117	0.303313	discard	generic shortcut-cutting via nearest-in-3D-space curve self-intersection: all three vehicles fall off almost immediately, right at the shortcut crossing. My candidate point (curve-offset~104 <-> ~178) is close in raw 3D Euclidean distance but that distance conflates horizontal closeness with a real vertical drop -- checking, point14 is at y=-0.19 and point21 is at y=-4.55, a ~4.4m elevation difference (a switchback on a hill, not a flat loop). Driving straight across it drives off a cliff edge rather than cutting a corner. Need to filter shortcut candidates by horizontal (XZ) distance and small elevation difference, not raw 3D distance. 1.160353 -> 0.270117 (reverted)
6f7cf0e	0.270117	0.303313	discard	shortcut-cutting v2 (horizontal distance + elevation-match filter): still falls, bit-for-bit same failure as v1. Debug telemetry (car Y position during crossing) revealed why: the two endpoints ARE close and level (~0.2m Y diff), but the terrain BETWEEN them is not flat -- the car crests a ridge/hill up to Y=-0.61 mid-crossing (both endpoints are near Y=-4.0), which is presumably WHY the road loops around instead of cutting straight through. Once the shortcut disengages near the exit trigger radius, the car has to drop back down off that ridge onto the actual road surface and falls doing so. Endpoint-elevation matching alone is insufficient -- need to verify the terrain height ALONG the crossing path (e.g. via raycasts, same technique race_manager.gd already uses for surface detection), not just at the two ends. 1.160353 -> 0.270117 (reverted)
90ccad9	0.370715	0.959897	keep	honest baseline (unmodified ai_drive_task.gd, --repeats=3, autoresearch/aug31): tow_truck falls off every one of 3 repeats (0.377/0.442/0.371) at its hairpin corner -- the previous run's reported 1.160353 was a lucky single-run fluke from Jolt's non-deterministic multi-threaded solver (see PROGRAM.md Determinism caveat), NOT a reliable score. car_base and trailer_truck reliably win all 3 repeats (1.348, 1.161). This 0.370715 (worst tow_truck rep) is the real starting point for this run, replacing 1.160353.
d5ded76	0.041296	0.041880	keep	Tier B baseline (whisker sensing + onboard proprioception, no curve access, --repeats=3): all 3 vehicles fall off almost identically (deterministic, distance ~15m) within ~3.3s of race start -- lateral offset grows steadily from spawn (0.18m at t=0.01) to fell_off threshold (4.3m at t=3.0s) while steering stays small (mostly 0.0-0.3 rad) and never strongly corrects. This is the FIRST Tier B candidate, establishing the reference point (Tier A baseline for comparison: 0.370715, see ai/COMPARISON.md).
9a08826	0.230213	0.433621	keep	fix short=pavement/long=edge sign inversion in steering (whisker distances were being read backwards -- weighted toward the LONGEST reading as "open road" when long/max_range actually means no pavement found there), add lateral edge-recentering probes (left/right at current position, replacing the wrong-signed cross-track attempt), fix the edge safety-margin brake trigger sign, remove the forward-whisker braking term (not a meaningful signal on this narrow road, always near its short pitch-determined distance regardless of curvature). car_base now reaches 291.6m consistently (vs falling ~15m before). 0.041296 -> 0.230213 (worst-of-3 --repeats=3)
f612ae0	0.230213	0.433388	keep	add whisker-confirmation cornering brake (forward whiskers total pavement-confirmation weight, already computed for heading, reused as a "tight corner ahead" braking signal -- diagnosed via visual capture that trailer_truck was rolling over a tight hairpin loop from too much speed). tow_truck clearly improved (0.275 -> 0.355/0.358 in 2 of 3 repeats, now regularly getting past the tunnel/hairpin instead of falling off). aggregate_score unchanged (0.230213, bit-identical trailer_truck worst-repeat trajectory) because trailer_truck has a SEPARATE, still-undiagnosed wedge earlier, apparently inside the dark tunnel just before this same hairpin -- possibly a physical squeeze, not a cornering-speed issue. Committed anyway: real, reproducible, zero-regression gain for tow_truck.
7d460fc	0.221560	0.274966	discard	add level wall-probe (pitch_deg=0, reuses whisker_scan) braking proportionally to nearest-wall distance, hypothesizing forward-facing whiskers cant tell a real wall (tunnel rim) from road curving away: aggregate score unchanged (tow_truck/trailer_truck bit-identical to the pre-change baseline, still governed by tow_truck at 0.222) but car_base REGRESSED hard (291m win-track fell_off -> 109m fell_off, mean 0.440 -> 0.275) -- the level ray is false-triggering on something car_base passes (likely a ramp face) and the resulting brake unsettles it into an off-track spin at a point it previously handled fine. Reverted; next attempt needs to gate this so it only brakes on CLOSE hits, not the full proportional range down to 8m. 0.221560 -> 0.221560 (unchanged aggregate, mean regressed, reverted)
06d2e43	0.221560	0.440467	discard	same wall-probe idea as 7d460fc but gated to only brake within wall_probe_close_range=3.0m (of 8m sensor range) instead of the full proportional range: fixes the car_base regression (back to 291m win-track fell_off, mean restored to 0.440467) but the probe never actually fires close enough to change ANY vehicles trajectory -- trailer_truck (111.7m) and tow_truck (81.2m) are bit-identical to the pre-wall-probe baseline. Diagnostic trace (see runs/06d2e43.json) shows trailer_truck oscillating near the HugeTire tunnel (x -52..-66, z -94..-99, matching the tire torus center -43,-2.77,-101) at low speed (2-4 m/s) with steering pegged at -0.40 and engine_force spiking to 100 -- a physical wedge, but the level wall-probe geometry (height 1.0m, 45deg fan) apparently does not reach the tire rim surface before contact happens. No change, reverted; the wedge symptom (crawl speed + maxed steering) suggests attacking via stuck-detection instead of a new distance sensor. 0.221560 -> 0.221560 (unchanged, reverted)
c26dbe4	0.221560	0.440467	discard	add wedge-detection (crawl speed<3.0 AND |steer|>0.9*max_steer for stuck_time_threshold=1.5s) as a second stuck-recovery trigger: bit-identical to baseline on all 3 vehicles -- trace shows the tunnel wedge alternates between speed briefly above 3.0 (t=17.0-18.0, 3.7-4.3 m/s) and briefly below with pegged steer (t=18.5, 2.79 m/s), so the condition never holds continuously for the full 1.5s window before something (a sample-to-sample speed blip) resets the timer. Needs a higher wedge_speed_threshold and/or a shorter dedicated time threshold to actually catch this specific oscillation pattern. 0.221560 -> 0.221560 (unchanged, reverted)
8aef100	0.180485	0.426775	discard	apply the same low-speed reverse torque boost the player gets (up to -100 instead of flat -engine_power=-40) during recovery: WORSE, not better -- tow_truck now falls off at 66.1m (was time_up/frozen at 81.2m). Trace shows the stronger reverse does free it from the frozen wedge (t=9.5-13, speed goes from ~0 to actively moving again) but then overshoots: lateral offset balloons 1.13->3.02m in ~2.5s as it surges back forward at full boost right after a hard reverse, ejecting it sideways off track rather than cleanly re-centering. Confirms the wedge IS a real physical lock that raw power can break, but recovery also needs the exit to be controlled, not just more force. Reverted; try a partial boost (e.g. -70 ceiling) and/or steadier recovery steering next. 0.221560 -> 0.180485 (regressed, reverted)
b91c99f	0.014086	0.014097	crash	hold recovery steering fixed for the whole maneuver (captured once at trigger) instead of live-recomputing each tick: self-inflicted GDScript bug -- accidentally declared _recovery_steer twice (SCRIPT ERROR: Parse Error, see run.log), so ai_drive_task.gd failed to load entirely and every vehicle just sat with linear_velocity nil-erroring, all 3 falling off almost immediately (5.2m). Godot still printed ok:true/a JSON despite the parse error (worth noting: ok:true is not sufficient proof the script even loaded -- should sanity-check distance_m/score arent suspiciously near-zero too). Not a real result; fixing the duplicate declaration and re-testing the same idea next. 0.221560 -> 0.014086 (script parse error, reverted)
6c99a3d	0.215684	0.413616	discard	hold recovery steering fixed for the whole reverse maneuver (captured once at trigger) instead of recomputing live each tick: looked promising on a single run (aggregate 0.256338, tow_truck dist 81.2->93.9) but did NOT hold up under --repeats=3 (determinism caveat) -- worst-of-3 aggregate 0.215684, BELOW the official repeats=3-confirmed baseline 0.230213 (tow_truck worst-of-3 0.216/79.0m, trailer_truck worst-of-3 0.230/84.4m, both worse than their single-run numbers). Genuine idea (avoids the erratic tick-to-tick steering swerve during blind reverse), but net negative once non-determinism is accounted for. Reverted per PROGRAM.md step 8. 0.230213 -> 0.215684 (worst-of-3, reverted)
4edb04e	0.221560	0.440467	discard	scale target_speed CEILING (max_speed) down 0.7x for trailer-equipped vehicles only (detected via exclude.size()>1, free from the already-computed collect_body_rids call): bit-identical to baseline on ALL 3 vehicles -- diagnostic overrides test (--overrides={"trailer_speed_scale":0.05}) confirms the has_trailer detection genuinely works (extreme scale DOES change trailer_truck trajectory, dist 111.7->93.8), but at 0.7 the max_speed ceiling (25->17.5) is never actually the binding constraint anywhere on this twisty track -- other brakes (whisker_confirmation, slope) already keep cruise speed well under 17.5 the whole way, so loosening/tightening the rarely-reached ceiling has zero effect. The trailer-detection MECHANISM is validated and worth keeping as a direction; needs to scale the min_speed FLOOR used in the cornering-brake lerp instead of the max_speed ceiling. 0.221560 -> 0.221560 (unchanged, reverted -- redesigning to target min_speed next)
786fc0a	0.215646	0.659226	discard	scale min_speed FLOOR down 0.5x for ANY trailer-equipped vehicle (exclude.size()>1, matches both trailer_truck=2 bodies and tow_truck=7 bodies): huge win for trailer_truck (0.305/111.7m fell_off -> 0.967/354.4m time_up, nearly finishing the whole track!) confirming the trailer-aware-caution mechanism genuinely targets the right failure. But tow_truck (which also matches exclude.size()>1) got marginally WORSE (0.222/81.2m time_up -> 0.216/79.0m fell_off) -- trace shows tow_truck wedges at the exact same spot either way, a persistent physical chain-lock distinct from trailer_truck swinging off the bridge edge, so applying the SAME scale to it does not help and slightly hurts. Since aggregate=min(vehicles) and tow_truck is the constraint, aggregate is flat-to-slightly-down (0.221560->0.215646) despite the huge mean gain (0.440->0.659). Reverted; narrowing the gate to exclude.size()==2 (trailer_truck only, not tow_truck) next so tow_truck reverts to its original unaffected behavior while trailer_truck keeps the win. 0.221560 -> 0.215646 (single run, reverted)
1c3bcc7	0.223966	0.431306	discard	narrow the trailer min_speed scale (0.5x) gate to exclude.size()==2 exactly (trailer_truck only, not tow_truck): confirmed tow_truck is now bit-identical to baseline across all 3 repeats (0.275/0.355/0.358, matching f612ae0 exactly) as intended. But trailer_truck itself got HIGH VARIANCE, not a reliable win: repeats were 0.968(time_up)/0.224(time_up)/0.224(time_up) -- the single-run 0.967 near-finish (see 786fc0a) was real but not typical; 2 of 3 repeats still bottleneck around 82m, and that worst-of-3 (0.224) is slightly BELOW trailer_truck own prior worst-of-3 (0.230213, which was actually already the aggregate-determining vehicle at f612ae0, not tow_truck as previously assumed). Net: worst-of-3 aggregate 0.223966, a small regression from the official 0.230213 baseline. Reverted per PROGRAM.md step 8 (does not beat the previous best under repeats=3). The mechanism is directionally very promising (a 0.5x floor scale visits BOTH a near-finish and a same-as-before failure depending on run luck) -- trying a milder scale next to reduce variance while keeping some of the benefit. 0.230213 -> 0.223966 (worst-of-3, reverted)
e1cc363	0.228820	0.432924	discard	milder trailer min_speed scale (0.6 vs the 0.5 tried in 1c3bcc7), same exclude.size()==2 gate, tested directly with --repeats=3: tow_truck/car_base still bit-identical to baseline as designed. trailer_truck worst-of-3 = 0.229 (repeats 0.418(fell_off)/0.229(time_up)/0.229(time_up)) -- still high variance, still just under the 0.230213 baseline. Milder scale did not fix the variance; the worst-case trajectory seems to hit roughly the same wall regardless of exactly how much the floor is lowered in this range. Reverted. 0.230213 -> 0.228820 (worst-of-3, reverted)
afa09d0	0.227966	0.432639	discard	even lower trailer min_speed scale (0.4), same exclude.size()==2 gate, tested directly with --repeats=3: tow_truck/car_base bit-identical to baseline. trailer_truck worst-of-3 = 0.228 (repeats 0.314(fell_off)/0.313(fell_off)/0.228(time_up)) -- now falls off in 2 of 3 reps instead of just timing out, and still doesnt beat the 0.230213 baseline. Across 3 scale values tried (0.5/0.6/0.4, results.tsv 1c3bcc7/e1cc363/afa09d0) the worst-of-3 aggregate stays in a narrow 0.224-0.229 band regardless of exactly how much the cornering-brake floor is lowered -- the mechanism clearly CAN produce a near-finish in a lucky run (0.968 at scale=0.5) but the unlucky-run floor is basically insensitive to this parameter in this range, suggesting the worst-case failure mode isnt primarily a speed problem. Pausing this specific lever; the trailer-detection signal itself (exclude.size()) remains a promising building block for a future attempt that targets something other than raw speed (e.g. steering aggressiveness or a wider effective safety margin) specifically for trailer_truck. 0.230213 -> 0.227966 (worst-of-3, reverted)
e657f71	0.275003	0.714636	keep	low-pass filter (smoothing=0.3) steering command for rigid-trailer vehicle only (exclude.size()==2, free signal from OnboardSensing.collect_body_rids car_base=1/trailer_truck=2/tow_truck=7 already computed each tick): jerky per-tick steering recompute was whipping the towed Trailer body wide on the HugeTire tunnel/hairpin, causing a Y-fall (screenshot-diagnosed, runs/diag_trailer_capture/). trailer_truck now WINS all 3 repeats (1.084/1.079/1.074) instead of falling off every repeat around 84-112m. car_base/tow_truck bit-identical to baseline (gate is exact ==2, not tow_truck s 7). First real repeats=3-confirmed aggregate improvement since 0.230213 -- long-standing tunnel/hairpin bottleneck for trailer_truck substantially fixed (tow_truck is now the sole remaining bottleneck). 0.230213 -> 0.275003 (worst-of-3, kept)
